PERIOD,TEMP,HUMID,SOLAR,WIND
1,"43,00","0,0031","2,0","4,88"
2,"41,80","0,0031","2,1","4,86"
3,"41,50","0,0030","2,2","4,61"
4,"41,40","0,0029","2,2","4,88"
5,"41,00","0,0029","2,1","4,34"
6,"40,50","0,0029","2,1","5,40"
7,"39,40","0,0030","2,3","5,38"
8,"38,20","0,0033","2,3","6,01"
9,"38,80","0,0031","8,7","5,06"
10,"39,20","0,0032","51,9","3,22"
11,"40,40","0,0032","122,2","1,45"
12,"43,20","0,0030","211,2","0,57"
13,"45,90","0,0025","228,3","2,10"
14,"47,40","0,0022","229,0","5,02"
15,"47,90","0,0022","221,7","3,20"
16,"48,60","0,0022","238,6","3,15"
17,"48,90","0,0019","107,0","3,41"
18,"48,80","0,0019","43,8","3,91"
19,"47,60","0,0021","6,2","6,17"
20,"46,70","0,0022","1,6","3,79"
21,"46,10","0,0023","1,7","4,42"
22,"44,60","0,0029","1,8","4,03"
23,"43,50","0,0033","2,1","4,73"
24,"43,20","0,0036","2,1","4,71"
25,"43,50","0,0038","2,1","5,00"
26,"43,40","0,0041","2,0","3,73"
27,"43,30","0,0047","2,0","4,27"
28,"42,80","0,0049","2,1","3,22"
29,"42,30","0,0050","2,2","3,98"
30,"42,70","0,0048","2,1","3,94"
31,"42,80","0,0047","2,1","4,41"
32,"43,70","0,0044","2,1","5,06"
33,"44,00","0,0043","3,7","4,46"
34,"44,60","0,0041","25,0","4,99"
35,"46,00","0,0042","60,9","5,67"
36,"48,00","0,0043","97,5","5,72"
37,"49,40","0,0042","139,2","6,59"
38,"49,40","0,0038","137,0","6,25"
39,"50,30","0,0034","180,0","5,79"
40,"51,10","0,0034","81,4","5,89"
41,"50,90","0,0035","53,6","5,57"
42,"50,70","0,0038","32,1","5,74"
43,"50,80","0,0040","4,7","4,55"
44,"50,60","0,0043","1,4","4,05"
45,"50,20","0,0047","1,4","5,16"
46,"49,60","0,0051","1,6","4,57"
47,"50,30","0,0056","1,4","3,46"
48,"49,80","0,0058","1,5","5,16"
49,"51,30","0,0069","1,4","6,20"
50,"52,10","0,0078","1,4","8,21"
51,"53,00","0,0053","1,4","7,95"
52,"54,00","0,0054","1,2","8,35"
53,"54,50","0,0058","1,1","9,25"
54,"54,90","0,0058","1,1","11,38"
55,"55,60","0,0060","1,1","9,66"
56,"56,50","0,0070","1,0","8,16"
57,"56,90","0,0062","1,6","7,27"
58,"56,50","0,0064","13,6","7,23"
59,"56,50","0,0057","45,3","8,47"
60,"57,20","0,0064","57,2","7,43"
61,"58,40","0,0058","79,9","3,93"
62,"60,20","0,0066","74,6","6,38"
63,"61,60","0,0067","73,1","6,71"
64,"62,80","0,0072","62,4","5,19"
65,"64,30","0,0073","59,2","3,94"
66,"66,50","0,0075","53,8","4,97"
67,"67,70","0,0090","9,7","8,53"
68,"67,30","0,0091","0,0","9,10"
69,"67,00","0,0084","0,1","7,37"
70,"66,70","0,0074","0,0","5,26"
71,"66,80","0,0066","0,1","4,57"
72,"66,70","0,0063","0,0","4,31"
73,"62,80","0,0108","0,3","7,32"
74,"60,70","0,0088","0,6","1,63"
75,"59,50","0,0093","0,6","3,83"
76,"59,90","0,0059","0,6","5,98"
77,"59,00","0,0044","0,7","3,69"
78,"58,30","0,0038","0,9","5,80"
79,"57,30","0,0031","0,9","7,02"
80,"55,60","0,0031","1,0","7,08"
81,"53,40","0,0031","9,7","11,82"
82,"51,20","0,0036","56,0","8,64"
83,"49,90","0,0035","209,3","12,66"
84,"49,80","0,0036","299,1","11,40"
85,"49,00","0,0037","261,5","9,76"
86,"49,40","0,0036","365,9","8,81"
87,"50,10","0,0034","266,9","8,34"
88,"52,00","0,0035","344,5","8,27"
89,"51,40","0,0035","178,0","8,57"
90,"49,50","0,0035","61,1","7,83"
91,"48,50","0,0037","8,4","7,27"
92,"47,90","0,0039","1,5","6,27"
93,"47,90","0,0038","1,5","6,99"
94,"47,60","0,0038","1,5","7,25"
95,"47,30","0,0039","1,5","5,73"
96,"47,00","0,0040","1,5","5,10"
97,"46,80","0,0041","1,6","4,97"
98,"46,40","0,0040","1,6","5,80"
99,"46,30","0,0040","1,6","5,88"
100,"46,20","0,0040","1,6","6,39"
101,"46,10","0,0040","1,6","6,48"
102,"46,30","0,0040","1,6","5,78"
103,"46,20","0,0041","1,7","4,89"
104,"46,10","0,0043","1,6","4,74"
105,"46,20","0,0045","2,9","4,06"
106,"44,70","0,0051","36,3","3,61"
107,"45,60","0,0055","45,0","4,10"
108,"44,00","0,0057","62,1","9,93"
109,"45,20","0,0060","74,8","8,82"
110,"45,60","0,0057","64,8","7,44"
111,"45,60","0,0062","55,8","3,29"
112,"45,40","0,0034","33,1","2,92"
113,"45,30","0,0037","25,5","4,95"
114,"45,30","0,0034","16,7","4,44"
115,"45,30","0,0036","3,9","5,84"
116,"44,90","0,0032","1,6","4,67"
117,"45,10","0,0033","1,6","5,13"
118,"45,30","0,0030","1,6","3,53"
119,"45,40","0,0029","1,6","5,03"
120,"45,20","0,0026","1,6","5,00"
121,"44,70","0,0036","1,5","6,05"
122,"44,60","0,0038","1,6","5,08"
123,"44,40","0,0038","1,6","4,64"
124,"44,20","0,0040","1,7","5,49"
125,"43,90","0,0040","1,7","5,09"
126,"43,80","0,0041","1,7","5,58"
127,"43,60","0,0041","1,7","6,33"
128,"43,80","0,0042","1,7","5,16"
129,"43,70","0,0041","2,8","4,53"
130,"43,80","0,0040","15,3","4,22"
131,"43,90","0,0039","52,1","4,46"
132,"44,10","0,0037","84,6","5,38"
133,"44,70","0,0039","70,9","5,31"
134,"44,90","0,0038","80,4","5,03"
135,"44,90","0,0036","58,7","4,83"
136,"44,90","0,0036","75,8","6,04"
137,"45,10","0,0035","66,8","7,12"
138,"44,90","0,0033","20,6","6,64"
139,"44,00","0,0032","4,5","7,10"
140,"43,70","0,0031","1,7","5,97"
141,"43,50","0,0030","1,7","5,86"
142,"43,20","0,0027","1,7","5,54"
143,"43,00","0,0025","1,7","5,34"
144,"43,00","0,0026","1,7","6,45"
145,"43,20","0,0033","1,7","4,71"
146,"42,90","0,0034","1,7","4,52"
147,"43,00","0,0032","1,7","2,12"
148,"43,20","0,0034","1,7","3,67"
149,"42,90","0,0036","1,7","3,50"
150,"42,70","0,0038","1,7","4,87"
151,"42,80","0,0037","1,7","4,63"
152,"42,80","0,0038","1,7","4,56"
153,"42,70","0,0038","6,5","3,69"
154,"42,40","0,0037","71,4","3,62"
155,"44,20","0,0055","229,3","3,55"
156,"48,80","0,0045","470,9","5,93"
157,"52,10","0,0035","584,1","5,72"
158,"53,40","0,0028","635,4","9,21"
159,"54,40","0,0027","609,0","10,78"
160,"55,30","0,0026","529,0","8,26"
161,"56,00","0,0024","378,1","8,15"
162,"56,10","0,0023","198,5","6,16"
163,"55,20","0,0024","32,8","3,61"
164,"53,90","0,0025","1,1","0,78"
165,"53,40","0,0026","1,5","0,78"
166,"52,60","0,0026","1,6","0,39"
167,"51,80","0,0027","1,6","3,35"
168,"50,70","0,0029","1,6","5,07"
169,"49,50","0,0029","1,6","6,13"
170,"47,90","0,0027","1,6","6,43"
171,"46,60","0,0029","1,6","6,29"
172,"44,90","0,0033","1,8","7,19"
173,"45,10","0,0033","1,8","8,58"
174,"44,90","0,0036","1,8","7,21"
175,"42,80","0,0035","1,8","6,36"
176,"42,50","0,0036","2,0","6,62"
177,"41,00","0,0037","17,2","8,42"
178,"41,70","0,0041","158,8","7,75"
179,"45,10","0,0038","343,0","8,76"
180,"50,60","0,0035","505,0","9,20"
181,"55,80","0,0031","615,8","7,22"
182,"59,30","0,0027","660,7","8,24"
183,"63,50","0,0023","638,8","8,28"
184,"65,30","0,0015","549,9","7,74"
185,"66,10","0,0012","403,0","7,95"
186,"65,80","0,0020","215,4","9,31"
187,"63,90","0,0025","36,7","7,11"
188,"62,10","0,0029","0,4","6,51"
189,"59,60","0,0029","0,6","7,02"
190,"56,50","0,0038","0,7","7,25"
191,"53,90","0,0054","0,9","10,17"
192,"52,80","0,0053","1,0","9,11"
193,"51,40","0,0050","1,0","9,26"
194,"50,40","0,0053","1,2","5,11"
195,"50,80","0,0056","1,2","8,69"
196,"49,80","0,0060","1,2","8,41"
197,"48,70","0,0062","1,4","8,45"
198,"47,90","0,0062","1,5","6,82"
199,"47,80","0,0059","1,6","5,18"
200,"48,10","0,0062","1,5","3,76"
201,"47,80","0,0065","19,2","6,58"
202,"49,80","0,0071","197,8","3,04"
203,"53,30","0,0074","323,5","7,38"
204,"58,10","0,0072","444,5","8,71"
205,"61,90","0,0062","566,5","6,88"
206,"64,30","0,0053","530,9","3,61"
207,"65,50","0,0050","477,7","2,45"
208,"68,20","0,0041","533,3","1,73"
209,"68,50","0,0038","389,4","2,70"
210,"68,40","0,0036","216,3","2,10"
211,"67,50","0,0036","23,8","2,06"
212,"64,50","0,0035","0,1","2,75"
213,"62,10","0,0040","0,5","2,99"
214,"60,00","0,0041","0,7","4,47"
215,"59,00","0,0040","0,9","5,19"
216,"58,50","0,0040","1,0","1,96"
217,"57,70","0,0038","1,1","4,04"
218,"56,80","0,0034","1,2","5,78"
219,"57,80","0,0031","1,1","3,05"
220,"55,20","0,0033","1,2","4,01"
221,"53,60","0,0031","1,4","3,65"
222,"51,50","0,0032","1,5","1,31"
223,"51,40","0,0032","1,6","0,56"
224,"48,70","0,0035","1,6","1,16"
225,"46,90","0,0035","16,5","1,76"
226,"47,20","0,0036","153,9","1,20"
227,"53,60","0,0035","336,7","0,37"
228,"59,00","0,0029","498,7","2,83"
229,"63,50","0,0022","609,5","4,66"
230,"66,60","0,0018","658,3","3,73"
231,"68,60","0,0015","636,8","3,60"
232,"70,00","0,0015","547,0","4,24"
233,"70,90","0,0017","400,1","5,13"
234,"71,30","0,0019","213,7","6,57"
235,"69,80","0,0027","36,5","5,16"
236,"68,00","0,0032","0,0","5,25"
237,"65,90","0,0043","0,1","6,20"
238,"62,50","0,0067","0,4","8,89"
239,"59,30","0,0082","0,5","7,20"
240,"57,40","0,0093","0,7","3,91"
241,"56,10","0,0061","1,0","2,75"
242,"55,50","0,0069","0,9","4,12"
243,"55,30","0,0069","0,9","8,46"
244,"56,00","0,0067","0,9","6,01"
245,"55,90","0,0069","0,9","4,95"
246,"55,20","0,0066","0,9","5,79"
247,"56,80","0,0074","0,9","8,96"
248,"55,60","0,0071","1,0","9,10"
249,"55,20","0,0067","7,9","8,57"
250,"55,10","0,0067","65,8","9,33"
251,"56,50","0,0097","322,5","8,95"
252,"59,00","0,0091","490,4","8,27"
253,"62,80","0,0076","605,6","8,81"
254,"66,80","0,0064","655,4","8,82"
255,"70,20","0,0057","632,4","8,52"
256,"73,20","0,0056","544,1","5,90"
257,"75,00","0,0050","398,2","4,35"
258,"74,80","0,0050","207,3","4,68"
259,"73,70","0,0051","34,3","4,25"
260,"71,90","0,0054","0,0","3,22"
261,"68,60","0,0060","0,3","1,07"
262,"65,20","0,0063","0,5","2,33"
263,"63,20","0,0043","0,7","7,19"
264,"60,60","0,0039","0,9","5,57"
265,"57,00","0,0035","1,0","7,55"
266,"54,60","0,0025","1,1","8,67"
267,"52,60","0,0020","1,4","9,31"
268,"50,80","0,0016","1,5","10,23"
269,"48,90","0,0012","1,7","12,32"
270,"47,50","0,0013","1,8","11,33"
271,"47,10","0,0018","1,8","12,09"
272,"46,30","0,0017","1,8","10,62"
273,"45,10","0,0017","16,2","7,92"
274,"45,20","0,0010","152,7","8,69"
275,"48,20","0,0003","344,5","11,10"
276,"51,70","0,0041","510,9","14,85"
277,"53,10","0,0040","623,2","13,38"
278,"55,10","0,0037","670,5","12,55"
279,"56,30","0,0037","649,5","12,25"
280,"56,80","0,0039","562,1","12,84"
281,"56,80","0,0045","416,2","11,73"
282,"55,10","0,0045","228,6","12,09"
283,"52,60","0,0047","43,6","10,67"
284,"49,40","0,0048","1,5","9,06"
285,"46,60","0,0001","1,7","7,34"
286,"44,40","0,0002","2,0","7,73"
287,"42,50","0,0003","2,1","6,21"
288,"40,90","0,0004","2,5","5,65"
289,"39,50","0,0005","2,5","5,80"
290,"38,30","0,0005","2,6","5,68"
291,"37,00","0,0005","2,7","4,98"
292,"35,90","0,0006","2,7","5,94"
293,"34,40","0,0006","2,8","5,24"
294,"33,70","0,0007","2,9","4,46"
295,"32,70","0,0007","3,1","3,83"
296,"32,40","0,0007","3,2","3,25"
297,"32,10","0,0008","21,9","1,88"
298,"33,10","0,0008","157,0","4,86"
299,"36,40","0,0008","328,4","6,29"
300,"41,00","0,0005","514,3","8,78"
301,"44,60","0,0003","469,4","6,50"
302,"48,80","0,0024","668,5","6,24"
303,"51,40","0,0026","644,1","7,65"
304,"53,20","0,0001","522,1","7,42"
305,"54,80","0,0003","392,3","7,19"
306,"55,10","0,0006","170,5","6,85"
307,"54,40","0,0011","8,9","3,93"
308,"53,70","0,0014","1,1","3,52"
309,"52,20","0,0018","1,1","6,49"
310,"50,10","0,0022","1,2","9,24"
311,"48,60","0,0030","1,4","8,88"
312,"48,00","0,0035","1,6","8,45"
313,"48,40","0,0041","1,6","7,15"
314,"47,70","0,0044","1,7","5,33"
315,"47,10","0,0046","1,7","4,66"
316,"46,60","0,0048","1,8","3,15"
317,"46,40","0,0049","1,7","2,16"
318,"46,50","0,0050","1,7","1,87"
319,"47,10","0,0052","1,7","1,85"
320,"47,80","0,0054","1,6","1,40"
321,"48,10","0,0055","4,4","1,17"
322,"48,90","0,0058","30,6","1,79"
323,"51,20","0,0062","96,8","3,23"
324,"54,00","0,0065","182,4","2,96"
325,"58,60","0,0069","273,7","6,50"
326,"61,80","0,0074","136,6","6,56"
327,"63,10","0,0080","120,0","5,93"
328,"64,40","0,0081","185,1","7,30"
329,"65,30","0,0080","148,8","7,45"
330,"65,80","0,0082","75,1","6,92"
331,"65,20","0,0084","11,4","3,59"
332,"64,70","0,0084","0,5","4,64"
333,"64,40","0,0086","0,5","4,58"
334,"64,20","0,0092","0,5","5,24"
335,"63,10","0,0097","0,5","5,22"
336,"62,40","0,0104","0,6","6,12"
337,"62,30","0,0115","0,6","6,15"
338,"62,50","0,0121","0,6","5,35"
339,"61,50","0,0117","0,6","4,15"
340,"60,80","0,0115","0,7","3,89"
341,"60,30","0,0091","0,7","4,27"
342,"60,10","0,0085","0,6","4,59"
343,"60,30","0,0094","0,6","3,57"
344,"60,70","0,0090","0,6","4,31"
345,"61,60","0,0091","3,2","4,55"
346,"61,80","0,0087","56,5","5,34"
347,"62,80","0,0096","120,0","6,64"
348,"64,00","0,0128","253,4","7,64"
349,"65,60","0,0128","245,9","7,89"
350,"67,50","0,0113","279,1","8,82"
351,"71,10","0,0089","579,2","10,80"
352,"71,90","0,0081","379,6","10,40"
353,"72,20","0,0079","288,3","9,20"
354,"72,20","0,0076","193,4","10,67"
355,"70,70","0,0078","32,8","7,27"
356,"68,50","0,0087","0,1","7,43"
357,"66,70","0,0089","0,1","5,99"
358,"64,30","0,0086","0,4","8,74"
359,"62,30","0,0089","0,5","9,84"
360,"61,10","0,0094","0,6","8,10"
361,"60,30","0,0097","0,7","6,66"
362,"59,50","0,0103","0,7","8,55"
363,"59,30","0,0108","0,7","6,58"
364,"58,80","0,0107","0,9","7,82"
365,"58,60","0,0085","0,9","8,37"
366,"59,00","0,0088","0,9","8,81"
367,"59,60","0,0101","0,7","7,89"
368,"61,00","0,0091","0,6","8,41"
369,"62,10","0,0109","7,0","10,17"
370,"63,20","0,0125","54,8","9,29"
371,"64,50","0,0131","126,3","9,24"
372,"65,30","0,0134","107,8","9,79"
373,"66,40","0,0133","149,0","9,18"
374,"67,90","0,0126","168,8","9,20"
375,"68,30","0,0132","138,3","8,17"
376,"69,50","0,0130","135,8","8,96"
377,"69,80","0,0129","68,5","9,77"
378,"69,00","0,0133","51,1","7,84"
379,"68,60","0,0137","19,9","7,07"
380,"68,30","0,0134","0,1","6,99"
381,"67,30","0,0142","0,3","7,09"
382,"66,60","0,0141","0,1","7,96"
383,"66,00","0,0138","0,3","8,05"
384,"66,00","0,0138","0,1","8,19"
385,"66,00","0,0138","0,1","6,77"
386,"65,70","0,0137","0,3","5,86"
387,"65,50","0,0136","0,3","5,17"
388,"65,50","0,0139","0,3","4,95"
389,"66,20","0,0143","0,3","6,69"
390,"67,00","0,0141","0,1","10,70"
391,"67,20","0,0145","0,1","10,73"
392,"67,00","0,0147","0,1","10,22"
393,"66,80","0,0143","12,1","8,62"
394,"67,20","0,0135","93,6","8,04"
395,"68,20","0,0149","81,2","11,50"
396,"68,70","0,0151","124,3","10,58"
397,"68,80","0,0152","181,2","9,91"
398,"69,00","0,0153","130,5","9,31"
399,"68,30","0,0150","76,3","7,43"
400,"67,30","0,0144","94,6","7,50"
401,"67,80","0,0139","56,8","5,75"
402,"68,70","0,0152","29,2","5,79"
403,"69,00","0,0153","4,5","5,08"
404,"68,60","0,0151","0,0","7,89"
405,"68,20","0,0150","0,0","6,25"
406,"68,00","0,0129","0,0","5,20"
407,"67,60","0,0131","0,0","5,70"
408,"67,60","0,0115","0,0","4,60"
409,"67,30","0,0148","0,0","3,73"
410,"66,70","0,0157","0,1","2,60"
411,"66,50","0,0153","0,1","1,93"
412,"66,30","0,0151","0,1","1,42"
413,"65,70","0,0149","0,1","2,47"
414,"64,20","0,0130","0,1","5,27"
415,"62,30","0,0124","0,3","6,11"
416,"62,50","0,0125","0,3","4,43"
417,"62,80","0,0122","0,7","2,54"
418,"61,00","0,0103","8,4","4,65"
419,"60,40","0,0100","51,9","5,65"
420,"64,60","0,0114","147,8","5,48"
421,"68,20","0,0128","172,4","6,73"
422,"69,80","0,0157","287,4","8,44"
423,"69,70","0,0157","183,2","7,98"
424,"70,40","0,0161","144,4","7,80"
425,"69,60","0,0156","115,1","6,71"
426,"71,70","0,0151","90,4","6,39"
427,"71,00","0,0152","8,9","9,88"
428,"69,30","0,0154","-0,1","10,68"
429,"68,90","0,0153","-0,1","11,04"
430,"68,70","0,0152","-0,1","10,12"
431,"68,50","0,0151","-0,1","11,41"
432,"68,50","0,0151","-0,1","11,35"
433,"68,00","0,0148","-0,1","10,62"
