PERIOD,TEMP,HUMID,SOLAR,WIND
862,"54,80","0,0069","0,7","8,89"
863,"53,80","0,0073","0,9","7,01"
864,"54,30","0,0078","0,9","7,63"
865,"54,50","0,0081","0,7","8,36"
866,"54,70","0,0086","0,9","7,78"
867,"55,20","0,0091","0,9","2,39"
868,"54,90","0,0056","0,7","2,37"
869,"55,00","0,0047","0,7","1,09"
870,"54,60","0,0050","0,7","2,44"
871,"54,60","0,0044","0,7","0,69"
872,"55,00","0,0045","0,7","2,80"
873,"54,40","0,0043","15,8","3,83"
874,"54,80","0,0045","110,7","4,10"
875,"57,10","0,0050","189,5","5,14"
876,"57,80","0,0053","160,5","6,32"
877,"60,60","0,0113","523,6","8,84"
878,"64,20","0,0093","431,8","7,64"
879,"67,30","0,0071","616,3","7,03"
880,"69,70","0,0043","621,2","7,17"
881,"70,70","0,0040","468,4","5,68"
882,"70,70","0,0045","170,7","5,36"
883,"70,30","0,0046","45,8","2,05"
884,"69,30","0,0047","0,6","0,06"
885,"68,10","0,0048","0,3","0,15"
886,"66,70","0,0044","0,4","0,62"
887,"65,70","0,0036","0,4","0,49"
888,"64,40","0,0038","0,5","2,27"
889,"62,70","0,0037","0,5","2,75"
890,"60,40","0,0043","0,6","2,23"
891,"58,50","0,0050","0,7","2,35"
892,"58,50","0,0051","0,7","1,62"
893,"57,50","0,0045","0,9","2,52"
894,"56,40","0,0047","0,9","3,54"
895,"54,00","0,0055","1,0","1,53"
896,"54,00","0,0054","1,1","0,82"
897,"51,80","0,0056","21,4","2,99"
898,"52,30","0,0064","205,1","3,56"
899,"56,80","0,0077","353,3","2,24"
900,"61,70","0,0086","449,9","2,48"
901,"66,60","0,0068","648,5","2,94"
902,"70,20","0,0038","711,5","3,72"
903,"71,30","0,0037","718,3","3,30"
904,"72,70","0,0021","530,4","3,81"
905,"72,50","0,0019","232,9","3,94"
906,"71,60","0,0033","86,8","4,82"
907,"70,40","0,0047","20,6","3,68"
908,"68,60","0,0059","0,4","4,08"
909,"67,50","0,0075","0,3","3,17"
910,"66,20","0,0090","0,4","4,09"
911,"65,00","0,0116","0,4","4,96"
912,"64,20","0,0066","0,5","6,34"
913,"63,90","0,0103","0,5","6,30"
914,"64,00","0,0096","0,5","5,12"
915,"63,60","0,0102","0,6","5,72"
916,"63,50","0,0099","0,6","4,67"
917,"63,30","0,0102","0,7","4,60"
918,"63,30","0,0097","0,6","5,46"
919,"63,00","0,0101","0,6","5,00"
920,"63,10","0,0094","0,6","3,90"
921,"63,40","0,0087","3,8","4,08"
922,"63,70","0,0086","54,6","3,15"
923,"66,10","0,0100","115,8","6,00"
924,"67,90","0,0106","139,5","7,98"
925,"70,20","0,0108","299,6","7,17"
926,"72,50","0,0174","308,8","7,92"
927,"74,70","0,0162","506,0","10,02"
928,"76,40","0,0135","467,9","12,30"
929,"76,80","0,0130","195,9","10,73"
930,"77,20","0,0129","136,3","11,24"
931,"77,10","0,0132","53,8","11,75"
932,"75,50","0,0142","0,5","10,74"
933,"73,80","0,0156","-0,2","10,33"
934,"72,50","0,0173","-0,1","11,18"
935,"72,60","0,0148","-0,1","9,69"
936,"72,70","0,0143","-0,1","9,01"
937,"72,70","0,0172","-0,1","8,06"
938,"72,00","0,0163","0,0","8,37"
939,"72,30","0,0165","0,0","8,42"
940,"72,90","0,0169","-0,1","9,10"
941,"72,30","0,0161","-0,1","10,36"
942,"71,70","0,0167","-0,1","9,73"
943,"71,50","0,0159","0,0","9,34"
944,"71,50","0,0156","0,0","10,67"
945,"71,50","0,0155","7,7","8,95"
946,"72,10","0,0152","24,8","8,35"
947,"72,50","0,0164","49,2","7,00"
948,"73,00","0,0185","39,9","7,16"
949,"73,50","0,0185","60,7","7,48"
950,"73,70","0,0181","63,6","10,64"
951,"73,60","0,0174","94,1","10,12"
952,"73,50","0,0096","58,9","7,41"
953,"74,90","0,0189","253,0","9,15"
954,"76,60","0,0198","110,7","7,41"
955,"67,60","0,0139","6,7","15,51"
956,"61,10","0,0081","0,4","13,29"
957,"59,30","0,0069","0,6","14,89"
958,"59,00","0,0060","0,7","14,32"
959,"58,80","0,0063","0,5","9,27"
960,"58,10","0,0048","1,0","3,75"
961,"57,50","0,0065","1,1","6,68"
962,"57,10","0,0076","1,1","7,26"
963,"56,10","0,0062","1,1","7,57"
964,"55,30","0,0070","1,2","4,53"
965,"54,30","0,0057","1,4","5,09"
966,"52,90","0,0050","1,4","6,15"
967,"51,50","0,0052","1,5","6,35"
968,"50,10","0,0048","1,6","8,12"
969,"48,90","0,0045","37,0","7,06"
970,"49,90","0,0071","212,0","7,37"
971,"52,60","0,0058","414,7","6,53"
972,"55,50","0,0055","589,5","6,10"
973,"58,30","0,0046","713,0","5,74"
974,"60,60","0,0037","768,6","7,82"
975,"62,70","0,0038","754,0","6,85"
976,"64,20","0,0036","669,5","6,62"
977,"65,60","0,0035","521,1","5,13"
978,"66,20","0,0029","324,9","6,20"
979,"65,60","0,0025","114,8","4,90"
980,"63,30","0,0036","2,8","2,87"
981,"61,60","0,0035","0,9","2,62"
982,"60,40","0,0034","1,0","0,80"
983,"58,60","0,0033","1,2","2,93"
984,"57,40","0,0033","1,2","2,07"
985,"56,20","0,0031","1,4","2,92"
986,"57,40","0,0030","1,4","6,55"
987,"56,30","0,0032","1,2","8,15"
988,"56,50","0,0032","1,2","5,93"
989,"52,10","0,0044","1,5","4,92"
990,"53,00","0,0042","1,5","7,18"
991,"53,90","0,0044","1,4","6,29"
992,"51,60","0,0044","1,6","1,46"
993,"48,90","0,0045","36,7","1,46"
994,"50,20","0,0044","209,5","3,59"
995,"55,00","0,0040","413,3","5,77"
996,"60,30","0,0043","576,8","6,43"
997,"64,50","0,0046","713,0","7,57"
998,"67,30","0,0043","769,6","4,13"
999,"70,20","0,0033","754,4","4,10"
1000,"71,90","0,0029","669,0","2,65"
1001,"72,50","0,0027","522,1","2,40"
1002,"73,00","0,0026","324,5","2,18"
1003,"72,80","0,0028","113,1","2,60"
1004,"71,40","0,0034","2,2","3,73"
1005,"68,80","0,0041","0,3","5,72"
1006,"67,50","0,0041","0,5","5,58"
1007,"65,70","0,0043","0,5","4,23"
1008,"65,30","0,0045","0,6","4,67"
1009,"64,90","0,0045","0,6","7,42"
1010,"62,80","0,0050","0,5","8,05"
1011,"61,00","0,0057","0,4","7,48"
1012,"60,00","0,0057","0,6","7,49"
1013,"59,10","0,0060","1,0","7,96"
1014,"57,90","0,0067","1,0","6,73"
1015,"57,20","0,0082","1,1","6,81"
1016,"55,80","0,0096","1,1","6,92"
1017,"56,00","0,0067","40,2","6,64"
1018,"55,20","0,0052","209,0","8,61"
1019,"56,30","0,0049","271,7","5,68"
1020,"60,00","0,0044","536,8","6,66"
1021,"67,20","0,0095","712,0","9,16"
1022,"70,70","0,0071","768,6","11,53"
1023,"73,60","0,0052","754,9","12,47"
1024,"74,80","0,0052","669,0","12,55"
1025,"75,10","0,0048","521,6","11,58"
1026,"75,00","0,0048","332,8","11,99"
1027,"73,70","0,0043","113,4","11,78"
1028,"71,30","0,0040","1,0","13,86"
1029,"68,40","0,0054","0,0","9,89"
1030,"65,70","0,0067","0,4","8,88"
1031,"63,00","0,0079","0,5","5,76"
1032,"60,70","0,0085","0,6","7,18"
1033,"59,90","0,0095","0,7","7,11"
1034,"60,10","0,0103","0,7","10,35"
1035,"59,80","0,0110","0,9","8,43"
1036,"59,40","0,0083","0,9","6,93"
1037,"59,60","0,0082","0,7","9,43"
1038,"59,70","0,0080","0,7","8,70"
1039,"59,60","0,0077","0,7","7,85"
1040,"59,50","0,0071","1,1","4,81"
1041,"59,00","0,0062","23,1","5,09"
1042,"60,90","0,0079","217,6","8,12"
1043,"64,60","0,0132","272,2","11,79"
1044,"67,20","0,0130","370,3","12,01"
1045,"69,70","0,0108","412,8","15,07"
1046,"71,80","0,0095","453,3","13,40"
1047,"73,50","0,0085","385,5","14,89"
1048,"75,10","0,0080","548,0","14,98"
1049,"75,40","0,0080","412,3","13,38"
1050,"74,40","0,0078","241,2","14,51"
1051,"72,50","0,0086","76,0","13,41"
1052,"70,60","0,0090","1,2","10,01"
1053,"69,70","0,0095","0,1","11,37"
1054,"68,40","0,0100","0,1","7,90"
1055,"67,30","0,0106","0,3","8,24"
1056,"65,70","0,0120","0,4","7,94"
1057,"65,60","0,0136","0,4","7,46"
1058,"66,30","0,0125","0,4","7,41"
1059,"66,80","0,0121","0,4","6,42"
1060,"66,50","0,0119","0,4","6,47"
1061,"66,50","0,0123","0,4","7,18"
1062,"67,00","0,0128","0,4","6,67"
1063,"67,70","0,0130","0,3","6,93"
1064,"67,80","0,0130","0,4","7,21"
1065,"67,70","0,0123","13,6","7,94"
1066,"68,60","0,0122","56,5","8,61"
1067,"69,70","0,0129","118,5","9,28"
1068,"71,00","0,0165","97,7","10,06"
1069,"71,20","0,0166","64,1","6,85"
1070,"72,50","0,0167","156,8","8,25"
1071,"73,70","0,0154","235,1","9,28"
1072,"74,60","0,0144","225,6","10,99"
1073,"74,20","0,0146","83,8","8,86"
1074,"73,60","0,0151","74,1","8,68"
1075,"72,70","0,0161","24,3","5,83"
1076,"72,30","0,0162","0,1","6,04"
1077,"71,70","0,0167","-0,3","6,82"
1078,"71,10","0,0165","-0,3","5,94"
1079,"70,90","0,0124","-0,2","5,24"
1080,"70,50","0,0117","0,0","5,47"
1081,"70,80","0,0155","0,0","5,07"
1082,"71,00","0,0154","0,0","9,70"
1083,"70,30","0,0157","0,0","8,12"
1084,"69,30","0,0146","0,0","6,53"
1085,"69,00","0,0148","0,1","5,81"
1086,"69,00","0,0146","0,1","6,29"
1087,"69,20","0,0149","0,1","5,62"
1088,"69,00","0,0145","0,3","8,93"
1089,"68,40","0,0107","39,7","11,94"
1090,"68,90","0,0117","210,2","9,42"
1091,"71,20","0,0146","393,8","8,93"
1092,"67,80","0,0126","473,3","6,39"
1093,"66,80","0,0114","634,9","3,17"
1094,"71,00","0,0101","685,1","6,24"
1095,"72,10","0,0077","704,2","7,24"
1096,"73,20","0,0066","655,4","7,87"
1097,"73,20","0,0059","507,5","6,50"
1098,"72,50","0,0052","305,4","7,35"
1099,"68,20","0,0043","101,2","7,22"
1100,"62,80","0,0039","2,3","7,66"
1101,"56,50","0,0039","0,5","10,09"
1102,"53,40","0,0041","0,9","13,81"
1103,"52,90","0,0027","1,1","12,19"
1104,"52,80","0,0016","1,1","9,30"
1105,"52,40","0,0019","1,1","11,56"
1106,"51,40","0,0003","1,4","9,93"
1107,"51,40","0,0053","1,4","10,57"
1108,"51,20","0,0023","1,4","9,18"
1109,"49,90","0,0014","1,5","8,18"
1110,"49,20","0,0001","1,6","5,08"
1111,"47,30","0,0002","1,7","5,70"
1112,"46,30","0,0016","1,7","5,44"
1113,"45,80","0,0019","27,5","6,19"
1114,"47,00","0,0007","159,5","8,20"
1115,"49,40","0,0037","335,7","11,12"
1116,"51,90","0,0034","450,9","9,53"
1117,"54,20","0,0031","613,9","10,56"
1118,"56,10","0,0029","604,1","9,88"
1119,"57,50","0,0034","589,5","8,76"
1120,"58,40","0,0033","524,1","8,32"
1121,"58,30","0,0039","400,6","9,21"
1122,"57,60","0,0046","192,7","8,58"
1123,"56,30","0,0051","69,2","8,52"
1124,"54,20","0,0042","3,1","5,48"
1125,"52,60","0,0038","1,2","6,11"
1126,"51,30","0,0036","1,4","6,67"
1127,"49,60","0,0003","1,4","6,01"
1128,"47,80","0,0005","1,7","7,28"
1129,"46,50","0,0002","1,7","6,96"
1130,"45,40","0,0000","1,8","7,26"
1131,"44,30","0,0038","2,0","7,17"
1132,"43,60","0,0039","2,0","8,87"
1133,"43,20","0,0040","2,0","9,60"
1134,"43,20","0,0040","2,1","10,06"
1135,"42,50","0,0039","2,1","9,79"
1136,"42,20","0,0037","2,1","9,78"
1137,"42,30","0,0037","13,6","9,01"
1138,"42,70","0,0037","61,1","9,06"
1139,"43,70","0,0035","128,3","7,43"
1140,"45,40","0,0030","240,8","6,47"
1141,"46,50","0,0033","218,3","7,76"
1142,"48,10","0,0030","258,6","6,26"
1143,"49,80","0,0031","331,8","7,04"
1144,"50,40","0,0033","209,8","7,13"
1145,"50,80","0,0031","141,2","6,33"
1146,"51,10","0,0034","70,4","5,69"
1147,"50,60","0,0034","31,4","7,04"
1148,"50,00","0,0030","1,8","6,55"
1149,"49,40","0,0032","1,4","3,58"
1150,"50,30","0,0024","1,4","3,53"
1151,"49,20","0,0021","1,4","3,21"
1152,"48,80","0,0020","1,4","2,50"
1153,"48,60","0,0041","1,5","5,28"
1154,"48,30","0,0037","1,5","3,17"
1155,"48,40","0,0036","1,5","2,40"
1156,"47,90","0,0038","1,5","3,66"
1157,"47,90","0,0039","1,6","3,80"
1158,"47,80","0,0039","1,6","3,35"
1159,"47,00","0,0037","1,5","3,98"
1160,"44,90","0,0001","1,7","4,67"
1161,"43,60","0,0020","4,4","5,84"
1162,"43,10","0,0021","11,1","6,30"
1163,"43,40","0,0017","28,7","5,51"
1164,"43,70","0,0018","60,4","5,19"
1165,"44,60","0,0025","75,8","4,57"
1166,"45,50","0,0018","125,3","5,25"
1167,"47,70","0,0010","162,7","4,15"
1168,"48,90","0,0006","59,7","3,65"
1169,"49,00","0,0007","52,1","4,40"
1170,"49,20","0,0007","31,1","5,01"
1171,"49,30","0,0005","24,8","5,69"
1172,"49,30","0,0003","3,1","5,82"
1173,"49,40","0,0001","1,5","5,25"
1174,"49,40","0,0002","1,5","4,55"
1175,"49,50","0,0022","1,5","2,48"
1176,"49,70","0,0009","1,4","1,84"
1177,"49,90","0,0034","1,4","1,30"
1178,"50,10","0,0039","1,4","1,47"
1179,"50,10","0,0037","1,4","2,44"
1180,"50,10","0,0035","1,4","4,56"
1181,"50,10","0,0034","1,4","3,84"
1182,"50,00","0,0033","1,4","4,42"
1183,"50,10","0,0034","1,4","4,59"
1184,"50,10","0,0034","1,5","4,87"
1185,"50,00","0,0035","12,6","5,43"
1186,"50,30","0,0034","69,9","6,84"
1187,"51,60","0,0030","150,9","6,61"
1188,"52,40","0,0029","152,9","7,42"
1189,"54,60","0,0006","460,6","7,95"
1190,"56,20","0,0039","313,7","5,92"
1191,"58,70","0,0022","368,4","6,27"
1192,"60,00","0,0040","279,6","6,36"
1193,"61,40","0,0034","545,5","5,27"
1194,"63,00","0,0043","346,9","5,61"
1195,"62,70","0,0065","132,2","5,92"
1196,"60,50","0,0060","4,9","5,77"
1197,"58,50","0,0037","0,7","4,23"
1198,"57,30","0,0031","0,9","5,22"
1199,"56,10","0,0040","0,9","5,08"
1200,"55,10","0,0036","1,0","5,75"
1201,"54,10","0,0058","1,0","6,97"
1202,"52,80","0,0056","1,4","7,92"
1203,"51,40","0,0052","1,4","7,86"
1204,"49,90","0,0048","1,5","6,63"
1205,"48,40","0,0043","1,6","4,16"
1206,"47,60","0,0040","1,7","4,68"
1207,"46,40","0,0044","1,8","7,26"
1208,"45,90","0,0042","2,1","7,23"
1209,"45,20","0,0041","53,3","11,82"
1210,"47,40","0,0008","238,3","14,33"
1211,"51,20","0,0038","444,0","13,31"
1212,"55,60","0,0041","622,7","12,43"
1213,"58,90","0,0002","730,0","9,41"
1214,"61,50","0,0032","755,4","10,64"
1215,"63,50","0,0026","785,2","8,14"
1216,"65,00","0,0044","628,0","9,22"
1217,"66,20","0,0044","539,2","8,58"
1218,"67,10","0,0067","346,9","10,45"
1219,"66,70","0,0082","131,7","7,99"
1220,"64,50","0,0078","4,5","4,49"
1221,"62,90","0,0057","0,5","4,58"
1222,"60,50","0,0047","0,6","5,08"
1223,"59,00","0,0044","0,7","6,25"
1224,"57,10","0,0041","0,9","6,21"
1225,"56,90","0,0069","0,7","9,84"
1226,"57,50","0,0074","0,9","9,04"
1227,"57,90","0,0012","0,9","13,80"
1228,"58,10","0,0069","0,9","14,39"
1229,"58,30","0,0063","0,9","13,30"
1230,"58,20","0,0060","0,9","10,96"
1231,"57,50","0,0061","0,7","10,99"
1232,"56,10","0,0064","0,7","12,41"
1233,"55,20","0,0066","4,0","14,23"
1234,"55,00","0,0074","8,4","10,64"
1235,"51,80","0,0045","7,2","13,09"
1236,"49,90","0,0045","16,0","10,40"
1237,"49,10","0,0052","38,5","10,97"
1238,"48,80","0,0048","79,0","11,02"
1239,"48,80","0,0055","69,4","9,52"
1240,"49,50","0,0057","151,4","9,08"
1241,"50,50","0,0064","100,4","8,65"
1242,"50,90","0,0067","71,2","11,35"
1243,"51,20","0,0064","38,7","11,14"
1244,"51,00","0,0065","6,0","7,44"
1245,"50,40","0,0063","1,1","6,55"
1246,"49,40","0,0060","1,2","6,69"
1247,"48,80","0,0059","1,6","5,51"
1248,"48,70","0,0058","1,6","7,96"
1249,"48,30","0,0056","1,5","5,39"
1250,"47,90","0,0056","1,5","5,46"
1251,"48,10","0,0056","1,5","5,54"
1252,"48,90","0,0057","1,4","7,01"
1253,"49,80","0,0058","1,4","6,92"
1254,"49,10","0,0057","1,5","5,04"
1255,"47,60","0,0054","1,6","5,07"
1256,"46,60","0,0053","2,1","9,15"
1257,"45,60","0,0051","62,6","10,19"
1258,"46,60","0,0049","215,4","13,13"
1259,"50,00","0,0030","463,1","18,03"
1260,"52,80","0,0030","639,7","18,98"
1261,"54,90","0,0027","763,7","20,39"
1262,"57,40","0,0022","811,5","21,05"
1263,"58,60","0,0036","770,5","26,28"
1264,"57,00","0,0035","536,8","24,00"
1265,"56,80","0,0036","249,0","25,40"
1266,"54,50","0,0028","201,5","25,30"
1267,"52,60","0,0001","117,5","17,50"
1268,"53,80","0,0010","8,9","10,60"
1269,"51,00","0,0019","1,0","10,97"
1270,"50,40","0,0011","1,2","10,02"
1271,"49,30","0,0004","1,4","3,23"
1272,"47,80","0,0005","1,6","2,81"
1273,"47,30","0,0007","1,5","3,59"
1274,"45,10","0,0030","1,5","8,26"
1275,"43,90","0,0031","1,6","10,55"
1276,"42,70","0,0031","1,7","10,84"
1277,"42,00","0,0029","1,7","10,27"
1278,"42,40","0,0027","1,8","10,01"
1279,"42,90","0,0028","1,7","9,73"
1280,"42,80","0,0030","2,3","7,57"
1281,"41,70","0,0032","63,1","9,22"
1282,"45,80","0,0028","261,5","9,67"